Name,Type,Description
ada_compliance,Enum,"States whether the piece of infrastructure was considered to be ADA compliant the last time it was officially assessed. This attribute should come from formal assessments and not be created using other available data (ex. Width, cross slope, etc.), since compliance status is based on many detailed, interacting factors. If ada_compliance is filled out, ada_compliance_date and ada_compliance_standard should also be filled out.

Valid Options:
yes, no, unknown"
ada_compliance_date,Date,"Indicates the date when ADA compliance was assessed. Report in ISO 8601 format containing month and year, or just year if month is not available. This field is conditionally required if ""ada_compliance"" is filled out."
ada_compliance_standard,Enum,"The specific ADA guidelines or standards used in the assessment of this infrastructure.  This field is conditionally required if ""ada_compliance_standard"" is filled out.

Valid Options:
2010
PROWAG
other"
impediment,Array<Text>,"Description of surface quality issues for the segment. If the quality is good, leave blank. In levels 1-2, use this field for any surface quality issues. In level 3, use the issue node to indicate quality issues at a single point, and this field to indicate quality issues that span the majority of the segment. 

Recommended Options:
yes, no, horizontal overgrowth, vertical overgrowth, fixed vertical obstruction, solid fixed object, flexible fixed object, protrusion, turning space missing or issue, detectable warning not aligned with crossing, push button not working, other"
step_count,Integer,The number of steps that make up this set of stairs. Must be greater than zero.
handrail,Boolean,"Whether a handrail is available on this set of stairs.

Valid Options:
yes, no"
wheel_channel,Boolean,"Whether there is a wheel channel to allow for pushing a bicycle up the stairs.

Valid Options:
yes, no"
date_built,Date,"Date containing month and year, or just year if month is not available. Indicates when the facility was officially opened for use. If the facility has had a major remodeling where the structure, shape or another fundamental aspect was changed, the date of remodeling can be placed here."
check_date,Date,"The date that this infrastructure was last inspected. Report in ISO 8601 format containing month and year, or just year if month is not available."
traffic_calming,Array<Text>,"Used to identify traffic calming features along a road or crossing. Implies that feature is present alongside the entirety of the edge. The fields that the traffic calming element(s) affect should be modified (i.e., a road narrowing should reduce the road's width field from its typical value). Recommended values are from https://www.ite.org/pub/?id=2a60c136-b1c0-b231-0522-ccbd075cac84  and https://wiki.openstreetmap.org/wiki/Key:traffic_calming  

Recommended Options:
for road edge type: 
corner extension / bulb out, choker, narrowed road, chicane, closure, mini roundabout, diagonal diverter, lateral shift, median barrier/forced turn island, raised intersection, realigned intersection, road narrowing, speed hump, speed table, traffic circle 
for crossing edge type:
raised crossing "
curb_height,Integer,Indicates typical height of the curb along this segment of the road; can be used in deciding whether to route specific pedestrians off the sidewalk when there are obstructions or discontinuities. Measured and rounded to the nearest inch. Cannot be negative.
official,Boolean,"Indicates whether a trail has been officially designated by a government body or other recognized organization.

Valid Options:
yes, no"
presence,Enum,"Indicates whether the piece of infrastructure exists or is present. When other attributes are provided, the existence of the infrastructure can be assumed. This attribute is useful for identifying where a sidewalk or a crossing might be missing or where its presence is unknown. Conditionally required if no other identfiying fields supplied.

Valid Options:
yes, no, missing, unknown

Example:
cycleway:left:presence=yes, cycleway:right:buffer:presence=yes"
rail,Boolean,"Used to indicate if a pedestrian or bicycle crossing is a railroad crossing. Use generic nodes to connect a rail crossing to the rest of the network. 

Valid Options:
yes
no"
visual_markings,Text,"The way the crossing is marked within the roadway space. “Standard” means two solid parallel lines that indicate the outline, “dashed lines” means two dashed parallel lines that indicate the outline, “zebra” means regularly spaced diagonal bars along its length, “continental” means regularly spaced horizontal bars along its length, and “ladder” means standard plus either zebra or continental.  

Recommended Options:
yes
no
dashed lines
zebra
continental
ladder
other"
detectable_warning,Enum,"Indicates when tactile guidestrips or other markings are present to help identify the edge of a crosswalk or traffic island, the beginning or end of steps, or the presence of other infrastructure nearby, such as bike lanes. It is recommended to segment the edge so that this field is only equal to “yes” for the segment where the detectable warning appears. Do not use this field for tactile markings on curb ramps; instead, use the detectable_warning field for curb ramps.  

Valid Options:
yes
no
unknown"
vehicle_traffic_control ,Enum,"Describes how motor vehicle traffic that passes through the crossing space is controlled.  

Valid Options:
uncontrolled
standard signal
flashing red signal
flashing yellow signal
yield sign
stop sign"
cross_vehicle_traffic_control ,Array<Enum>,"Describes how motor vehicle traffic coming from cross streets is controlled. This traffic may or may not turn into the crossing space. For intersections with more than one cross street, list all of the control types present. 

Valid Options:
uncontrolled
standard signal
flashing red signal
flashing yellow signal
yield sign
stop sign"
ped_traffic_control ,Enum,"Describes the type of signal that controls the timing of pedestrian use of the crossing.  

Valid Options:
Uncontrolled
standard signal
flashing red signal
flashing yellow signal
pedestrian hybrid beacon / HAWK
rectangular rapid flashing beacon
yield sign
stop sign"
ped_protection,Array<Enum>,"Lists any features of traffic control that are intended to improve the protection of pedestrians while crossing. 

Valid Options:
scramble / all pedestrian
leading pedestrian interval
no right on red
none
unknown"
measured_length,Float,The measured length of the edge. Note that geospatial data also contains a length attribute by default that may be useful in some cases. Measuring the traversable length of the segment is preferable.
