Name,Type,Description
impediment,Array&lt;Text>,"Identifies the type of object that may pose a challenge for travelers passing through the area. Mark an issue with a node only if it is close enough to the footway or pedestrian way to potentially pose a challenge. “Horizontal overgrowth” refers to temporary obstruction at ground level, such as bushes or plants. “Vertical overgrowth” refers to temporary obstruction between 25-80"" high, such as a branch or limb. “Fixed vertical obstruction” refers to a permanent obstruction between 25-80"" high, such as a sign. “Solid fixed object” includes street furniture, planters and other objects that cannot be difficult to navigate around and are within the pedestrian way. “Flexible fixed object” refers to bollards and other objects that some travelers may be able to navigate around and that are within the pedestrian way. “Protrusion” refers to objects of any type that are primarily located out of the pedestrian way but have some portion of them that sticks out into the pedestrian space.

Recommended options:
yes
no
horizontal overgrowth
vertical overgrowth
fixed vertical obstruction
solid fixed object
flexible fixed object
protrusion
turning space missing or issue
detectable warning not aligned with crossing
push button not working
other"
gtfs_agency_id,Text,The agency_id from the General Transit Feed Specification for the agency that maintains data about this stop. Both agency_id and stop_id must be provided. These IDs can be crosswalked with GTFS and TIDES data to obtain additional stop attributes and connect to the broader transit network. See GTFS documentation for more information.
gtfs_stop_id,Text,The stop_id from the General Transit Feed Specification for the agency that maintains data about this stop. Both agency_id and stop_id must be provided. These IDs can be crosswalked with GTFS and TIDES data to obtain additional stop attributes and connect to the broader transit network. See GTFS documentation for more information.
other_issue,Enum,"Identifies whether this point marks another type of issue that may pose a challenge for travelers, besides impediments and surface damage. Includes design, construction and other issue types.

Valid options:
yes
no
detectable warning not aligned with crossing
push button not working
markings worn
markings missing
turning space missing
other"
counter_site_id,Text,The identification number for this counter site within the source dataset.
counter_site_name,Text,The name for this counter site within the source dataset.
counter_data_source,Text,"The name of the specification or dataset from which data can be obtained about the counter and its results. For any point of type ""counter"", please ensure that either counter_data_source or counter_data_URL is filled out."
counter_data_URL,URL,"The URL for the dataset from which data can be obtained about the counter and its results. For any point of type ""counter,"" please ensure that either counter_data_source or counter_data_URL is filled out."
counter_comments,Text,"Any comments about the data or its source that are important for understanding how to access and crosswalk data about the counter site. For example, this field may be used to list multiple detector IDs located at the site. "
parking_type,Enum,"The type of parking facility. 

Valid options:
bicycle
scooter
ebike
shared scooter
shared bicycle
shared ebike
other
other shared"
parking_id,Text,The identification number for this parking site within the source dataset.
parking_provider,Text,"The name of the provider of the parking services at this parking site. This attribute is most useful for shared micromobility, to identify the provider of the micromobility service."
parking_data_URL,URL,The URL for the dataset from which data can be obtained about this parking site.
last_inspection_date,Date,"The date that this infrastructure was last inspected. Report in RFC 3339 format containing day, month and year, or just month and year or year if day or month is not available."
date_built,Date,"Indicates when the facility was officially opened for use. If the facility has had a major remodeling where the structure, shape or another fundamental aspect was changed, the date of remodeling can be placed here. Report in RFC 3339 format containing day, month and year, or just month and year or year if day or month is not available."
ada_compliance_date,Date,"Indicates the date when ADA compliance was assessed. Report in RFC 3339 format containing day, month and year, or just month and year or year if day or month is not available.. This field is conditionally required if ""ada_compliant_with"" is filled out."
ada_compliant_with,Enum,"If this infrastructure has been assessed for ADA compliance, the specific ADA guidelines or standards used in the assessment. Also fill out ""ada_compliance_date."" If no ADA assessment is being reported, leave blank."
button,Enum,"Whether or not a push button is present at the signal location. The button may or may not be functional; use the other_issue attribute to track if a button is not working.

Valid options:
yes
no
unknown"
button_vert_height_in,Integer,"If a button is present, the vertical height in inches of the push button, measured from the ground to the bottom of the button."
tactile_message,Text,"What types of tactile information are available at the signal location to help pedestrians cross.

Recommended options:
arrow
vibration walk signal
minimap
other"
auditory_message,Text,"What auditory messages are available at the signal location. “Information message” means any message that names the street being crossed or provides other geographical details. 

Recommended options:
auditory walk signal
information message
button locator tone
other"
actuation_type,Text,"What type of mechanism, if any, helps to identify that a pedestrian is at the crossing and wishes to cross. “Pedestrian actuated” indicates that a push button can or must be pushed to call the signal. “Pedestrian auto-detected” includes any kind of device that identifies the presence of a pedestrian and triggers the signal.

Recommended options:
Pedestrian actuated
pedestrian auto-detected
bike actuated
bike auto-detected
recall (no actuation or detection)
unknown"
crossing_time_sec,Integer,"The time in whole seconds that the signal provides for pedestrians to cross the crossing. For signals that do not have a fixed crossing time, list the minimum time provided."
