Name,Type,Description
street_parking,Enum,"Indicates the orientation of street parking in relation to a bike facility. The value ""floating"" means the same as ""parking protected.""

Valid options:
parallel
angled
floating: Also known as parking protected. Put this value if present regardless if parking is parallel/angled parking."
street_parking_buffer_ft,Float,"The space between a bicycle facility and the street parking. Measured in feet, with partial feet represented as decimals. Cannot be negative."
wheel_channel,Boolean,"Whether there is a wheel channel to allow for pushing a bicycle up the stairs.

Valid options:
yes
no"
traffic_volume,Integer,"Measures the motor vehicle annual average daily traffic (AADT) for the edge. Ideally rounded to the nearest hundred for low-volume roads and the nearest thousand for high-volume roads. Cannot be negative.

Example:
1,540 would be 1,500"
posted_speed_limit_mph,Integer,"Used to indicate the posted speed limit. Measured in miles per hour. Cannot be negative. If used on bikeway, multi-use path, or trail, it's assumed that is the speed limit for non-motorized users."
mv_freeflow_speed_mph,Integer,Used to indicate the free-flow motor vehicle speed. Suggest using the 85th percentile. Measured in miles per hour. Cannot be negative.
thru_lanes,Integer,Describes the number of vehicle thru lanes on an edge. Does not include turn lanes or shoulders. Cannot be negative.
aux_lanes,Integer,Describes the number of temporary vehicle lanes like turn lanes. Cannot be negative.
shoulder_width_in,Float,"Width of the paved shoulder or shoulders along the edge that can be used by pedestrians or cyclists. Measured in inches. Cannot be negative. Left/right/both tags may be used, and the directionality is determined based on how the edge geometry was drawn. See Directionality and Left/Right/Both Tags in the GATIS Playbook for further explanation.

Example:
left:36"
markings,Array&lt;Text>,"Markings that delineate or mark the area of the road or other edge for bicyclists or pedestrians, or for motor vehicle driver awareness of bike and pedestrian infrastructure or space. Left/right/both tagging may be used. See the Playbook for more information on this tagging.

Recommended options:
green_paint
sharrows
edge_lines

centerline
ped_lane
bike_lane

Example:
left:ped_lane, edge_lines, centerline"
roadway_centerline,Boolean,"Indicates if there is a painted road centerline. This attribute is sometimes used to help identify low-stress streets.

Valid options:
yes
no"
mup_modal_delineation,Boolean,"Designates whether bicyclists and pedestrians have separate designated spaces on a multi-use path, or whether all travelers use the same space.

Valid options:
yes
no

Example:
no"
prohibited_uses,Array&lt;Enum>,"Specifies which types of users are legally prohibited from using the facility, based on the laws, policy, or signage on a facility (ex. “E-bikes prohibited on this trail”). Can provide one or multiple in list form.

Valid options:
walk
bike
ebike class 1
scooter
NEV
motor_vehicle ebike class 2 ebike class 3 other"
allowed_uses,Array&lt;Enum>,"Specifies exceptions to the usually prohibited users. Intended for designating whether bikes are allowed to use sidewalks, footways, and crossings for routing purposes.

Valid options:
walk
bike
ebike class 1
scooter
NEV
motor_vehicle ebike class 2 ebike class 3 other

Example:
Bicycles normally prohibited from using the sidewalk but the sidewalk is a critical edge for connectivity."
restricted_access,Array&lt;Text>,"Whether access to the edge is restricted based on membership, passes / permits or access codes. Meant to help travelers easily know if general access is not allowed.

Recommended options:
private
access_code_required
membership_required
permit_required"
vehicle_traffic_control,Enum,"Describes how motor vehicle traffic that passes through the crossing edge is controlled. In an intersection where two roads cross, the road that is perpendicular to the crossing edge would be described using this attribute. Use cross_vehicle_traffic_control to describe the road that is parallel to the crossing edge.

Valid options:
no vehicle control
traffic signal
flashing red light
flashing yellow light
yield sign
stop sign
other"
cross_vehicle_traffic_control,Array&lt;Enum>,"Describes how motor vehicle traffic coming from cross streets is controlled. This traffic may or may not turn into the crossing space. In an intersection where two roads cross, the road that is parallel to the crossing edge would be described using this attribute. Use vehicle_traffic_control to describe the road that is perpendicular to the crossing edge. For intersections with more than one cross street, list all of the control types present for all of the cross streets in this attribute. 

Valid options:
no vehicle control
traffic signal
flashing red light
flashing yellow light
yield sign
stop sign
other"
ped_traffic_control,Enum,"Describes the type of signal that controls pedestrian use of the crossing. If left blank, ""unknown"" is assumed.

Valid options:
no pedestrian control
pedestrian signal
pedestrian hybrid beacon / HAWK
rectangular rapid flashing beacon
unknown"
ped_protection,Array&lt;Enum>,"Any features of traffic control that are intended to improve the protection of pedestrians while crossing. List all that are present. If left blank, ""unknown"" is assumed.

Valid options:
scramble / all pedestrian interval
leading pedestrian interval
no right on red for motor vehicles
automatic pedestrian recall
high visibility crosswalk markings
enhanced crosswalk lighting
advance stop / yield lines
additional signage
supplemental flashing beacon
other
none
unknown"
traffic_calming,Array&lt;Text>,"Used to identify features along a road or crossing meant to slow the speed of motor vehicle traffic when that feature is present alongside the entirety or majority of the edge. Most traffic calming features are better mapped as zones or points, due to their shape and placement. Please see the traffic_calming zone and point types to map other types of traffic calming. The attributes that the traffic calming element(s) affect should be modified -- for example, a road narrowing should reduce the road's width attribute to match the narrowed width. Recommended values are from https://www.ite.org/technical-resources/traffic-calming/traffic-calming-measures/ and https://wiki.openstreetmap.org/wiki/Key:traffic_calming.

Recommended options:
for road edge type:
narrowed road
closure
lateral shift

for crossing edge type:
raised crossing"
seasonal,Array&lt;Object>,"Indicates whether the segment is commonly affected by seasonal issues. Use this field for recurring (ex. yearly flooding) and not one-time (ex. single flood) events. Include both the seasonal concern and the season when it occurs as a JSON String.

Recommended options:
season: spring
summer
fall
winter
seasonal issues: flooding
ice
snow
heavy rain
heat / lack of shade
low visibility
fog
wind

Example:
{""flooding"":""spring"",""fall""}; {""ice"":""winter"",""heavy rain"":""summer""}"
surface_material,Enum,"Specifies the material used for the surface of the segment.

Valid options:
asphalt
concrete
gravel
grass
dirt
paved
unpaved
grass_paver
paving_stones
wood
other"
surface_issue,Text,"Description of surface quality issues that may pose a challenge for travelers passing along this edge.

Recommended options:
yes
no
cracking
scaling
spalling
uneven
frequent water pooling
heaving
missing bricks/stones
potholes/holes
slickness
detectable warning surface damage
longitudinal cracks and seams
metal plates
other"
pedestrian_lane,Enum,"Indicates whether the stretch of sidewalk is a pedestrian lane, in which a section of the roadway surface is divided out for pedestrian use."
incline,Float,"The running slope of the full edge. The incline should follow the direction in which the geospatial feature was drawn. If the incline increases between the from_node and the to_node, it should be positive. If the incline decreases between the from_node and the to_node, it should be negative. Report as a percentage with two decimal points of precision. See the Playbook for more information on directionality.

Recommended options:
[JG1]Grabbed from NACTO Bike design guide

Example:
3.25"
cross_slope,Float,The cross slope of the edge at most points along its path. Report as percentage with two decimal points of precision. Cannot be negative.
cross_slope_max,Float,The cross slope of the edge at the point along its path where there is the greatest cross slope. Report as a percentage with two decimal points of precision. Cannot be negative.
ada_compliance_date,Date,"Indicates the date when ADA compliance was assessed. Report in RFC 3339 format containing day, month and year, or just month and year or year if day or month is not available.. This field is conditionally required if ""ada_compliant_with"" is filled out.

Example:
2025-03
2014"
ada_compliant_with,Enum,"If this infrastructure has been assessed for ADA compliance, the specific ADA guidelines or standards used in the assessment. Also fill out ""ada_compliance_date."" If no ADA assessment is being reported, leave blank.

Valid options:
2010
PROWAG"
impediment,Array&lt;Text>,"Identifies the presence of an object that may pose a challenge for travelers passing along this edge. Mark an edge with this attribute only if the impediment is close enough to the footway/pedestrian way or bike path to potentially pose a challenge. If left blank, the assumed value for this attribute is “unknown.”

Recommended options:
yes
no
low overgrowth (lower than 27"")
high overgrowth (27"" or higher)
sign
low protrusion (lower than 27"")
high protrusion (27"" or higher)
utility cover
stormwater grate
metal plate
metal decking (ex. on bridges)
other surface impediment
other impediment"
step_count,Integer,The number of steps that make up this set of stairs. Must be greater than zero.
handrail,Boolean,"Whether a handrail is available on this set of stairs.

Valid options:
yes
no"
rail_crossing,Boolean,"Used to indicate if a pedestrian or bicycle crossing is a railroad crossing. Use generic nodes to connect a rail crossing to the rest of the network. Note that there is also a value of ""rail tracks"" for the other_issue attribute for edges. Use this attribute for track crossings that people walking, rolling or biking will need to cross, and that have active rail traffic. The ""rail tracks"" value for other_issue can be used on other edge types or to identify remaining or unused tracks no longer traveled by trains.

Valid options:
yes
no"
visual_markings,Text,"The way the crossing is marked within the roadway space. See the Manual of Uniform Traffic Control Devices (https://mutcd.fhwa.dot.gov/pdfs/11th_Edition/part3.pdf) Chapter 3C and Figure 3C-1 for more information. This attribute can accept a list of values. Include all that apply.

Recommended options:
marked - type unknown
unmarked
transverse
longitudinal bar
ladder
bar pair
high visibility
other"
tactile_marking,Enum,"Indicates when tactile guidestrips or other markings are present to help identify the edge of a crosswalk or traffic island, the beginning or end of steps, or the presence of other infrastructure nearby, such as bike lanes. It is recommended to segment the edge so that this field is only equal to “yes” for the segment where the detectable warning appears. Do not use this field for tactile markings on curb ramps; instead, use the detectable_warning attribute for curb_ramp nodes in Tiers 1 and 2, and the detectable_warning attribute for the curb_ramp_runslope and curb_ramp_toplanding edges in Tiers 3 and 4.

Valid options:
yes
no
unknown"
other_issue,Text,"Identifies whether this edge has another type of issue that may pose a challenge for travelers, besides impediments and surface damage. Includes design, construction and other issue types. Note that there is also an attribute for rail_crossing, which indicates if a crossing edge is a rail crossing. Use rail_crossing for track crossings that people walking, rolling or biking will need to cross, and that have active rail traffic. The ""rail tracks"" value here can be used on other edge types or to identify remaining or unused tracks no longer traveled by trains.

Recommended options:
yes
no
detectable warning not aligned with crossing
push button not working
markings worn
markings missing
rail tracks
broken / damaged signal
auditory signal not working
vibrotactile signal not working
poor volume for auditory signal
signal button height issue
no visual countdown for signal
signal distance from walk path
other"
lrs_references,Array&lt;Text>,"A JSON list capturing the attributes that appear in the GATIS LRS extension. See the extension for full attribute descriptions. Either this attribute or the extension may be used based on which is more convenient for the data producer and likely users. This attribute should be placed on each separate piece of infrastructure that is being mapped to LRS, with its specific milepoints. 

Example:
[{""gatis_id"": ""1234"", ""geometry_type"": ""edge"", ""type"": ""sidewalk"", ""reference_ids"": {""source"": ""NAME HERE"", ""id"": ""123456789""}, ""lrs_source_url"": ""https://link.gov/dataset"", ""lrs_starting_mp"": ""1.5"", ""lrs_ending_mp"": ""2.3"", ""lrs_side"": ""left""}, {""gatis_id"": ""1235"", ""geometry_type"": ""edge"", ""type"": ""sidewalk"", ""reference_ids"": {""source"": ""NAME HERE"", ""id"": ""123456789""}, ""lrs_source_url"": ""https://link.gov/dataset"", ""lrs_starting_mp"": ""1.5"", ""lrs_ending_mp"": ""2.3"", ""lrs_side"": ""right""}]"
last_inspection_type,Text,"The type of inspection that was carried out on the piece of infrastructure, on the date listed under last_inspection_date.

Recommended options:
routine maintenance check
ADA
safety audit
construction inspection
post-crash audit
other"
lifecycle_stage,Text,"The lifecycle stage of this piece of infrastructure, as of the last_inspection_date.

Recommended options:
new
operational
nearing replacement
replacement planned or in planning"
maintenance_schedule,Text,"Description of the maintenance schedule, frequency of inspection, replacement schedule or other information about when the piece of infrastructure is maintained."
planned_work,Text,"Description of any planned work ahead for the infrastructure. This may include plans for construction or remodeling, upcoming work orders or other types of planned improvements."
owner,Text,"The entity that owns this piece of infrastructure. If a department, office or subagency is responsible for the infrastructure, list that department, office or subagency. "
maintainer,Text,"The entity that is responsible for maintaining this piece of infrastructure. It may or may not be the same as owner. If a department, office or subagency is responsible for the infrastructure, list that department, office or subagency."
lighting,Boolean,"Whether or not this edge has lighting along its entirety or majority. For single points where lighting appears, use the object point type with object_type = lighting. For enhanced lighting of crosswalks, see the ped_protection attribute on the crossing edge."
bike_dismount_area,Boolean,Whether this edge contains an area where cyclists are asked to dismount from their cycles. 
detectable_warning,Enum,"Describes whether tactile paving is present, and whether or not it has a constrasting color (which should meet ADA guidelines for the amount of contrast). 

Valid options:
tactile and contrasted
tactile and not contrasted
not tactile and contrasted
no"
ramp_type,Text,"Indicates the orientation of the ramp in relation to the pedestrian direction of travel at the location. Where a double curb ramp exists, map each ramp as a separate curb_ramp_runslope.

Recommended options:
diagonal
directional
parallel
perpendicular
built-up
combination
transition
cut-through (median/island ramp)
unknown"
ramp_length,Float,Indicates the length of the incline portion of the curb ramp. 
