Dataset Alias,Dataset Name,Mode,Description,Entity,State,Geographic area,How acquired,Last updated,Record Count,Field Count,Info URL,REST URL,Socrata URL,Download URL
NYC Seating Locations,NYC Seating Locations,pedestrian,,NYC,NY,NYC,Open data,,,,https://data.cityofnewyork.us/Transportation/Seating-Locations-Map/3qgi-jrgw,,,
NYC Pedestrian Ramp - Progress,NYC Pedestrian Ramp - Progress,pedestrian,,NYC,NY,NYC,Open data,,,,https://data.cityofnewyork.us/Transportation/Pedestrian-Ramp-Program-Progress-Map-/r94j-3cph,,,
NYC Shared E-Scooter Parking Corrals,NYC Shared E-Scooter Parking Corrals,bike,,NYC,NY,NYC,Open data,2024,,,https://data.cityofnewyork.us/Transportation/Shared-E-Scooter-Parking-Corrals/hjz2-y62k/about_data,,,
NYC Pedestrian Mobility Plan Pedestrian Demand,NYC Pedestrian Mobility Plan Pedestrian Demand,pedestrian,,NYC,NY,NYC,Open data,2024,,,https://data.cityofnewyork.us/Transportation/Pedestrian-Mobility-Plan-Pedestrian-Demand/fwpa-qxaf/about_data,,,
Ohio State & US Bike Route System,,bike,,Ohio DOT,OH,Ohio,Open Data,,,,https://www.transportation.ohio.gov/programs/active+transportation/resources/state-us-bike-route-system,,,
Portland Sidewalks,Portland Sidewalks,pedestrian,,City of Portland,OR,"Portland, OR",Open data,2025,,,https://gis-pdx.opendata.arcgis.com/datasets/PDX::sidewalks/about,,,
Portland PedPDX Line,Portland PedPDX Line,pedestrian,,City of Portland,OR,"Portland, OR",Open data,2025,,,https://gis-pdx.opendata.arcgis.com/datasets/PDX::pedpdx-line/about,,,
Portland Corners Improved,Portland Corners Improved,pedestrian,,City of Portland,OR,"Portland, OR",Open data,2025,,,https://gis-pdx.opendata.arcgis.com/datasets/PDX::corners-improved/about,,,
Portland Bicycle Parking,Portland Bicycle Parking,bike,,City of Portland,OR,"Portland, OR",Open data,2025,,,https://gis-pdx.opendata.arcgis.com/datasets/PDX::bicycle-parking/about,,,
Portland Curbs,Portland Curbs,bike,,City of Portland,OR,"Portland, OR",Open data,2025,,,https://gis-pdx.opendata.arcgis.com/datasets/PDX::curbs/about,,,
Portland Bicycle Network,Portland Bicycle Network,bike,,City of Portland,OR,"Portland, OR",Open data,2025,,,https://gis-pdx.opendata.arcgis.com/datasets/PDX::bicycle-network/about,,,
Portland Recommended Bicycle Routes,Portland Recommended Bicycle Routes,bike,,City of Portland,OR,"Portland, OR",Open data,2025,,,https://gis-pdx.opendata.arcgis.com/datasets/PDX::recommended-bicycle-routes/about,,,
Portland Bicycle Parking Areas,Portland Bicycle Parking Areas,bike,,City of Portland,OR,"Portland, OR",Open data,2025,,,https://gis-pdx.opendata.arcgis.com/datasets/PDX::bicycle-parking-areas/about,,,
Portland Recommended Bicycle Route Points,Portland Recommended Bicycle Route Points,bike,,City of Portland,OR,"Portland, OR",Open data,2025,,,https://gis-pdx.opendata.arcgis.com/datasets/PDX::recommended-bicycle-route-points/about,,,
Portland Parks Trails,Portland Parks Trails,both,,City of Portland,OR,"Portland, OR",Open data,2024,,,https://gis-pdx.opendata.arcgis.com/datasets/PDX::parks-trails-2/about,,,
Bend Sidewalks,Bend Sidewalks,pedestrian,,City of Bend,OR,"Bend, OR",Open data,2025,,,https://data.bendoregon.gov/datasets/bendoregon::sidewalk/about,,,
Philly / Camden Pedestrian Network,DVRPC Pedestrian Network,pedestrian,,DVRPC,PA,Philadelphia / Camden,Open data,2025,,,https://dvrpc-dvrpcgis.opendata.arcgis.com/datasets/dvrpcgis::dvrpc-pedestrian-network/about,,,
Philly / Camden Pedestrian Ramps,DVRPC Pedestrian Ramps,pedestrian,,DVRPC,PA,Philadelphia / Camden,Open data,2025,,,https://dvrpc-dvrpcgis.opendata.arcgis.com/datasets/dvrpcgis::dvrpc-pedestrian-ramps/about,,,
Philly / Camden Sidewalk Gap Ratio,DVRPC Pedestrian Network Sidewalk Gap Ratio,pedestrian,,DVRPC,PA,Philadelphia / Camden,Open data,2025,,,https://dvrpc-dvrpcgis.opendata.arcgis.com/datasets/dvrpcgis::pedestrian-network-sidewalk-gap-ratio/about,,,
Philly / Camden Bike LTS,DVRPC Level of Traffic Stress (LTS) Network,bike,,DVRPC,PA,Philadelphia / Camden,Open data,2025,,,https://dvrpc-dvrpcgis.opendata.arcgis.com/datasets/dvrpcgis::dvrpc-level-of-traffic-stress-lts-network/about,,,
Greater Philadelphia Trails,DVRPC Greater Philadelphia Trails,both,,DVRPC,PA,Philadelphia / Camden,Open data,2025,,,https://dvrpc-dvrpcgis.opendata.arcgis.com/datasets/dvrpcgis::greater-philadelphia-trails/about,,,
Philly / Camden LTS Bike Facility Intersections,DVRPC Level of Traffic Stress (LTS) Bicycle Facility Intersections,bike,,DVRPC,PA,Philadelphia / Camden,Open data,2025,,,https://dvrpc-dvrpcgis.opendata.arcgis.com/datasets/dvrpcgis::dvrpc-level-of-traffic-stress-lts-bicycle-facility-intersections/about,,,
Philadelphia Bike Racks,,bike,,City of Philadelphia,PA,"Philadelphia, PA",Open data,,,,https://metadata.phila.gov/index.html#home/datasetdetails/55c4d732fa072a4b6e3a7ead/,,,http://www.pasda.psu.edu/data/philacity/data/PhiladelphiaBikeRacks201201.zip
Nashville Bikeways,Nashville Bikeways,bike,,City of Nashville,TN,Nashville TN,Open data,2024,,,https://data.nashville.gov/datasets/Nashville::bikeways/about,,,
Nashville Sidewalks,Nashville Sidewalks,pedestrian,,City of Nashville,TN,Nashville TN,Open data,2025,,,https://datanashvillegov-nashville.hub.arcgis.com/datasets/Nashville::sidewalks-1/explore,,,
Chattanooga Sidewalks,Chattanooga Sidewalks,pedestrian,,City of Chattanooga,TN,"Chattanooga, TN",Open data,2025,,,https://www.chattadata.org/Transportation/Sidewalks/ksvc-aknw/about_data,,,
Salt Lake City Sidewalks,Salt Lake City Sidewalks,pedestrian,,City of Salt Lake,UT,"Salt Lake City, UT",Open data,2025,,,https://gis-slcgov.opendata.arcgis.com/datasets/slcgov::sidewalk-1/about,,,
Salt Lake City Pedestrian Actuated,Salt Lake City Pedestrian Actuated,pedestrian,,City of Salt Lake,UT,"Salt Lake City, UT",Open data,2025,,,https://gis-slcgov.opendata.arcgis.com/maps/slcgov::pedestrian-actuated,,,
Salt Lake City Protective Bike Lane,Salt Lake City Protective Bike Lane,bike,,City of Salt Lake,UT,"Salt Lake City, UT",Open data,2024,,,https://gis-slcgov.opendata.arcgis.com/datasets/slcgov::protective-bike-lane/about,,,
Salt Lake City Sweeping Bike Lane,Salt Lake City Sweeping Bike Lane,bike,,City of Salt Lake,UT,"Salt Lake City, UT",Open data,2024,,,https://gis-slcgov.opendata.arcgis.com/datasets/slcgov::sweeping-bike-lane/about,,,
Virginia Bicycle Facilities,Bicycle Facilities Public View,bike,,Virginia,VA,Virginia,Open data,2023,,,https://www.virginiaroads.org/datasets/VDOT::bicycle-facilities-public-view/about,,,
VDOT Sidewalks,VDOT State Sidewalk Inventory,pedestrian,,VDOT,VA,Virginia,Open data,2022,,,https://www.arcgis.com/home/item.html?id=5c009edf10ca4df39770eb9a1124e7bd,,,
Fairfax Sidewalks Centerline,Fairfax Sidewalks Centerline,pedestrian,,Fairfax County VA,VA,Fairfax County VA,Open data,2024,,,https://data-fairfaxcountygis.opendata.arcgis.com/datasets/Fairfaxcountygis::sidewalks-centerline/about,,,
Alexandria Walks Polygons,Alexandria Walks Polygons,pedestrian,,City of Alexandria,VA,"Alexandria, VA",Open data,2009,,,https://cityofalexandria-alexgis.opendata.arcgis.com/datasets/AlexGIS::walks-polygons/about,,,
Alexandria Transport Walks,Alexandria Transport Walks,pedestrian,,City of Alexandria,VA,"Alexandria, VA",Open data,2021,,,https://cityofalexandria-alexgis.opendata.arcgis.com/datasets/AlexGIS::transport-walks/about,,,
Alexandria Bike Lane Routes,Alexandria Bike Lane Routes,bike,,City of Alexandria,VA,"Alexandria, VA",Open data,2024,,,https://cityofalexandria-alexgis.opendata.arcgis.com/datasets/AlexGIS::bike-lane-routes/about,,,
Washington Sidewalks along State Routes,WSDOT - Sidewalks along State Routes,pedestrian,,WSDOT,WA,Washington,Open data,2024,,,https://gisdata-wsdot.opendata.arcgis.com/datasets/WSDOT::wsdot-sidewalks-along-state-routes/about,,,
Washington Active Transportation LTS,WSDOT - Active Transportation Level of Traffic Stress,bike,,WSDOT,WA,Washington,Open data,2024,,,https://gisdata-wsdot.opendata.arcgis.com/datasets/WSDOT::wsdot-active-transportation-level-of-traffic-stress-lts/about,,,
Washington Approved US Bike Routes,WSDOT - Approved US Bike Routes in Washington State,bike,,WSDOT,WA,Washington,Open data,2024,,,https://gisdata-wsdot.opendata.arcgis.com/datasets/WSDOT::wsdot-approved-us-bike-routes-in-washington-state/about,,,
Washington Route Directness Index,WSDOT - Active Transportation Route Directness (x3),both,,WSDOT,WA,Washington,Open data,2025,,,https://gisdata-wsdot.opendata.arcgis.com/datasets/WSDOT::wsdot-active-transportation-route-directness-index-points/about; https://gisdata-wsdot.opendata.arcgis.com/datasets/WSDOT::wsdot-active-transportation-route-directness-index-transects/about; https://gisdata-wsdot.opendata.arcgis.com/datasets/WSDOT::wsdot-active-transportation-route-directness-index-routes/about,,,
Washington Roadway Special Use Lanes,WSDOT - Roadway Data Special Use Lanes,bike,,WSDOT,WA,Washington,Open data,2024,,,https://gisdata-wsdot.opendata.arcgis.com/datasets/WSDOT::wsdot-roadway-data-special-use-lanes/about,,,
Washington Permanent Bike Restrictions,WSDOT - Permanent Bike Restrictions,bike,,WSDOT,WA,Washington,Open data,2024,,,https://gisdata-wsdot.opendata.arcgis.com/datasets/WSDOT::wsdot-permanent-bike-restrictions-1/about,,,
Seattle Bike Facilities,SDOT Bike Facilities,bike,,SDOT,WA,Seattle,Open data,2025,,,https://data-seattlecitygis.opendata.arcgis.com/maps/bf36bd11b499489d8cc1d491b72eb712/about,,,
Seattle Sidewalks,SDOT Sidewalks,pedestrian,,SDOT,WA,Seattle,Open data,2025,,,https://data-seattlecitygis.opendata.arcgis.com/datasets/SeattleCityGIS::sidewalks-1/about,,,
Seattle Curb Ramps,SDOT Curb Ramps,pedestrian,,SDOT,WA,Seattle,Open data,2025,,,https://data-seattlecitygis.opendata.arcgis.com/datasets/SeattleCityGIS::curb-ramps-1/about,,,
Daxbot Sidewalk Polygons,,pedestrian,,Daxbot,,,,,,,,,,
Massachusetts Bike Inventory,Bike Inventory,bike,,MassDOT,,Massachusetts,Open data,2024,,,https://geo-massdot.opendata.arcgis.com/datasets/MassDOT::bike-inventory-current/about,,,
Ohio State Sidewalk Inventory,"Active, State Maintained Sidewalk Inventory",pedestrian,,Ohio DOT,OH,Ohio,Open Data,,3617,40,https://tims.dot.state.oh.us/tims/map/sid/vP9GDx,https://collectorweb.dot.state.oh.us/arcgis/rest/services/ADAROW/ADA_ROW_INVENTORY_VIEWER_WEBAPP/FeatureServer/1,,
Ohio Non-State Maintained Refuge Island Inventory,"Active, Non-State Maintained Refuge Island Inventory",pedestrian,,Ohio DOT,OH,Ohio,Open Data,,55,39,https://tims.dot.state.oh.us/tims/map/sid/vP9GDx,https://collectorweb.dot.state.oh.us/arcgis/rest/services/ADAROW/ADA_ROW_INVENTORY_VIEWER_WEBAPP/FeatureServer/15,,
Sacramento Metro Bicycle Facilities and Trails,Regional_Existing_BikeFacilities_2019,bike,"The Regional Bicycle, Pedestrian, and Trails Master Plan envisions a complete transportation system that supports healthy living and active communities where bicycling and walking are viable and popular travel choices in a comprehensive, safe, and convenient network. The existing bike facilities layer is a comprehensive layer of bikeways built and administered by local agencies throughout the region. This data reflects current bicycle & pedestrian facilities in order to help guide the development of a seamless and integrated regional bikeway network.",Sacramento Area Council of Governments,CA,Sacramento Metro,Open data,2025,15045,15,https://data.sacog.org/datasets/SACOG::regional-existing-bike-facilities-2019,https://services6.arcgis.com/YBp5dUuxCMd8W1EI/arcgis/rest/services/Regional_Existing_Bike_Facilities_2019/FeatureServer/0,,
Bay Area Regional Bike Facilities,regional_bike_facilities,bike,gisdb.msmith.regional_bike_facilities,MTC / ABAG,CA,Bay Area,Open Data,2021,7223,3,https://opendata-mtc.opendata.arcgis.com/datasets/0329d440fe65420a9650215a9cae459a_0/about,https://services3.arcgis.com/i2dkYWmb4wHvYPda/arcgis/rest/services/regional_bike_facilities/FeatureServer/0,,
Delaware Bicycle LTS,Bicycle Level of Traffic Stress (LTS),bike,,DelDOT,DE,Delaware,Open data,,163670,53,,https://enterprise.firstmaptest.delaware.gov/arcgis/rest/services/Transportation/DE_Bicycle_Network_Model/FeatureServer/1,,
Deleware Ramps,Ramps,pedestrian,,DelDOT,DE,Delaware,Open Data,,51708,13,,https://enterprise.firstmaptest.delaware.gov/arcgis/rest/services/Transportation/DE_Multimodal_Pedestrian_Network/FeatureServer/0,,
Deleware Sidewalks,Sidewalk,pedestrian,,DelDOT,DE,Delaware,Open Data,,137953,18,,https://enterprise.firstmaptest.delaware.gov/arcgis/rest/services/Transportation/DE_Multimodal_Pedestrian_Network/FeatureServer/1,,
Deleware Crosswalks,Crosswalk,pedestrian,,DelDOT,DE,Delaware,Open Data,,30027,18,,https://enterprise.firstmaptest.delaware.gov/arcgis/rest/services/Transportation/DE_Multimodal_Pedestrian_Network/FeatureServer/2,,
Deleware Pathways,Pathways,both,,DelDOT,DE,Delaware,Open Data,,5510,18,,https://enterprise.firstmaptest.delaware.gov/arcgis/rest/services/Transportation/DE_Multimodal_Pedestrian_Network/FeatureServer/3,,
Deleware Driveways,Driveways,other,,DelDOT,DE,Delaware,Open Data,,7163,18,,https://enterprise.firstmaptest.delaware.gov/arcgis/rest/services/Transportation/DE_Multimodal_Pedestrian_Network/FeatureServer/4,,
Florida PHBs,PHBs,pedestrian,,FDOT,FL,Florida,Open data,2020,12,47,https://fdot.maps.arcgis.com/apps/webappviewer/index.html?id=0e179df3bae4403cbac896f42f98fe13,https://services1.arcgis.com/O1JpcwDW8sjYuddV/ArcGIS/rest/services/PHBs/FeatureServer/0,,
Florida Green Color Pavement Markings Points,GP_PT,bike,,FDOT,FL,Florida,Open data,,94,37,https://fdot.maps.arcgis.com/apps/webappviewer/index.html?id=0e179df3bae4403cbac896f42f98fe13,https://gis.fdot.gov/arcgis/rest/services/Hosted/GreenColorPavMarkings/FeatureServer/1,,
Florida Green Color Pavement Markings Lines,GP_LN,bike,,FDOT,FL,Florida,Open data,,429,32,https://fdot.maps.arcgis.com/apps/webappviewer/index.html?id=0e179df3bae4403cbac896f42f98fe13,https://gis.fdot.gov/arcgis/rest/services/Hosted/GreenColorPavMarkings/FeatureServer/0,,
Florida Sidewalks and Gaps,sidewalks and gaps,pedestrian,,FDOT,FL,Florida,Open data,2025,7272,14,https://fdot.maps.arcgis.com/apps/webappviewer/index.html?id=0e179df3bae4403cbac896f42f98fe13,https://services1.arcgis.com/O1JpcwDW8sjYuddV/arcgis/rest/services/Sidewalks_and_Gaps_TDA/FeatureServer/0,,
Florida Bike Lanes,bike_lane,bike,"The Bike Lane feature class shows designated bike lanes for all non-limited access highways, including bridge segments, as derived from event mapping Feature 216, characteristic BIKELNCD from the FDOT Roadway Characteristics Inventory data. This data represents the information collected and reported as of the most recent inventory performed and may not reflect the current conditions.",FDOT,FL,Florida,Open data,2025,18541,13,https://fdot.maps.arcgis.com/apps/webappviewer/index.html?id=0e179df3bae4403cbac896f42f98fe13,https://services1.arcgis.com/O1JpcwDW8sjYuddV/ArcGIS/rest/services/Bike_Lane_TDA/FeatureServer/0,,
Florida Shared-Use Trails,SUNtrail_Network,both,,FDOT,FL,Florida,Open data,2025,1156,24,https://fdot.maps.arcgis.com/apps/webappviewer/index.html?id=0e179df3bae4403cbac896f42f98fe13,https://services1.arcgis.com/O1JpcwDW8sjYuddV/ArcGIS/rest/services/SUNTrailNetwork2017/FeatureServer/0,,
Florida Speed Limits,Maximum Speed Limits (MAXSPEED),other,,FDOT,FL,Florida,Open data,2025,15555,13,https://fdot.maps.arcgis.com/apps/webappviewer/index.html?id=0e179df3bae4403cbac896f42f98fe13,https://services1.arcgis.com/O1JpcwDW8sjYuddV/ArcGIS/rest/services/Maximum_Speed_Limit_TDA/FeatureServer/0,,
Florida AADT,Annual Average Daily Traffic (SECTADT),other,,FDOT,FL,Florida,Open data,2025,21387,24,https://fdot.maps.arcgis.com/apps/webappviewer/index.html?id=0e179df3bae4403cbac896f42f98fe13,https://services1.arcgis.com/O1JpcwDW8sjYuddV/arcgis/rest/services/Annual_Average_Daily_Traffic_TDA/FeatureServer/0,,
Florida Bike Slots,bike_slot,bike,,FDOT,FL,Florida,Open data,2025,16207,13,https://fdot.maps.arcgis.com/home/item.html?id=3c2112340bee4aa19a7308b1b7193f83,https://services1.arcgis.com/O1JpcwDW8sjYuddV/ArcGIS/rest/services/Bike_Slot_TDA/FeatureServer/0,,
Atlanta Metro Bicycle Facilities and Trails,Existing Facilities,bike,,Atlanta Regional Commission,GA,Atlanta Metro,Open data,2025,794,13,https://opendata.atlantaregional.com/maps/91ef2026b59f4d8b911cb1119e671909/about,https://services1.arcgis.com/Ug5xGQbHsD8zuZzM/ArcGIS/rest/services/Bike_Ped_Inventory_May2024/FeatureServer/90,,
Honolulu Existing Bike Facilities,Existing_Bike_Facilities,bike,"The Oâ€˜ahu Bike Plan guides the Honolulu Department of Transportation Serviceâ€™s (DTS) bikeway planning for the entire island of Oâ€˜ahu and includes provisions to ensure that the proposed high capacity rail transit stations are integrated into the regional bikeway network. The Plan builds on DTSâ€™s 1999 Honolulu Bicycle Master Plan (that focused on the KÄhala to Pearl City Corridor). The Oâ€˜ahu Bike Plan was prepared with broad public input via workshops, website questionnaires and draft reviews. It is a comprehensive plan addressing the five â€œEâ€™sâ€ of transportation planning (i.e., encouragement, engineering, education, enforcement and evaluation), considered vital to achieve the end state of a truly bicycle-friendly island. While actual bicycle facilities (e.g., lanes, routes and paths) are critical to achieving bike friendliness, implementation of strong policies and programs included in the Plan is essential, and in many instances more cost effective and implementable, to making our roads safer and more accessible to bikes.",City & County of Honolulu,HI,"Honolulu, HI",Open Data,2024,216,19,https://honolulu-cchnl.opendata.arcgis.com/datasets/cchnl::existing-bike-facilities/about,https://services.arcgis.com/tNJpAOha4mODLkXz/arcgis/rest/services/BikePaths/FeatureServer/0,,
Massachusetts Pedestrian Facilities,Pedestrian Facilities,pedestrian,,MassGIS,MA,Massachusetts,Open data,2024,353221,27,https://gis.data.mass.gov/datasets/45efedab4d114324a6c6c8f95de711d5_0/explore?location=42.364159%2C-71.112746%2C15.00,https://gis.massdot.state.ma.us/arcgis/rest/services/Roads/PedestrianFacilities/FeatureServer/0,,
Massachusetts Pedestrian Curb Cuts,Pedestrian Curb Cuts,pedestrian,,MassGIS,MA,Massachusetts,Open data,2020,28845,25,https://gis.data.mass.gov/datasets/53b0d0740a0b434792750ebb208cf69b_0/explore?location=42.355692%2C-71.053472%2C16.00,https://gis.massdot.state.ma.us/arcgis/rest/services/Assets/PedestrianCurbCuts/FeatureServer/0,,
Massachusetts Bike Trails,Bike Trails,bike,"This layer shows four existing facility types: shared use paths, bike lanes, separated bike lanes and bicycle/pedestrian priority roadways. The inventory is primarily from MassDOT's 2020 dataset and includes all state-owned infrastructure as well as facilities under local jurisdiction. Linework has been adjusted in some places to be more accurate based on DCR Trails, Open Street Map, and MassGIS 2021 Orthoimagery.",MassGIS,MA,Massachusetts,Open data,2024,8277,11,https://gis.data.mass.gov/datasets/f3ced38395ab4d5a8b5e7568c7bf8b5d_0/explore?location=42.323083%2C-71.850124%2C12.00,https://arcgisserver.digital.mass.gov/arcgisserver/rest/services/AGOL/Bike_Trails/FeatureServer/0,,
