Attribute Name,Attribute Alias Name,Data Type,Unique Values,Statistics,Unique Counts,Null Percent,Associated Element,Dataset Alias,Info URL,Mode
,bike facility type,Categorical,"sign shared route, bike lane, buffered bike lane, protected bike lane, wide outside lane",,,,roadway centerline segment,Nashville Bikeways,https://data.nashville.gov/datasets/Nashville::bikeways/about,bike
,bike facility type,Categorical,"standard bike lane, shared road lane, protected bike lane, unknown bike lane type, shared use non-road path, shoulder, side path separate from roadway, other",,,,roadway centerline segment or shared-use path centerline segment,Maryland Bicycle LTS,https://data-maryland.opendata.arcgis.com/datasets/maryland::maryland-bicycle-level-of-traffic-stress-lts/about,bike
,bike facility type,Categorical,"no accomodation, off-road trail / path, bike lane, bike route, sharrows, buffered bike lane, protected bike lane",,,,roadway centerline segment,Philly / Camden Bike LTS,https://dvrpc-dvrpcgis.opendata.arcgis.com/datasets/dvrpcgis::dvrpc-level-of-traffic-stress-lts-network/about,bike
,bike facility type,Categorical,"neighborhood greenways, protected bike lanes, buffered bike lanes, painted bike lanes, climbing lanes, sharrows, miscellaneous off street bicycle facility, unidentified, other",,,,bike route centerline segment,Seattle Bike Facilities,https://data-seattlecitygis.opendata.arcgis.com/maps/bf36bd11b499489d8cc1d491b72eb712/about,bike
,bike facility width,Decimal,,,,,bike centerline segment,Arizona Bike Lanes,https://arizona-sun-cloud-agic.hub.arcgis.com/,bike
,bike facility width,Decimal,,,,,bike route centerline segment,Seattle Bike Facilities,https://data-seattlecitygis.opendata.arcgis.com/maps/bf36bd11b499489d8cc1d491b72eb712/about,bike
,bike facility year completed,Date,,,,,roadway centerline segment,Nashville Bikeways,https://data.nashville.gov/datasets/Nashville::bikeways/about,bike
,bike lane type,Categorical,"route bike lanes, route climbing lanes, route shared lane, route recommend connection, route off street, route walking path",,,,sidewalk centerline segment,Alexandria Transport Walks,https://cityofalexandria-alexgis.opendata.arcgis.com/datasets/AlexGIS::transport-walks/about,pedestrian
,bike lane width,Decimal,,,,,roadway centerline segment,Washington Active Transportation LTS,https://gisdata-wsdot.opendata.arcgis.com/datasets/WSDOT::wsdot-active-transportation-level-of-traffic-stress-lts/about,bike
,bike planned facility status,Integer,,,,,bike centerline segment,Massachusetts Bike Inventory,https://geo-massdot.opendata.arcgis.com/datasets/MassDOT::bike-inventory-current/about,bike
,bike route - length,Decimal,decimal,,,,bicycle centerline segment,New York State Bike Routes,https://data.gis.ny.gov/datasets/8c9602de1f244af9990eec7f3c65e81c_0/about,bike
,bike route - route type,Categorical,"class III / shared roadway, class II / bike lane",,,,bicycle centerline segment,New York State Bike Routes,https://data.gis.ny.gov/datasets/8c9602de1f244af9990eec7f3c65e81c_0/about,bike
,bike route - status,Categorical,"existing, proposed",,,,bicycle centerline segment,New York State Bike Routes,https://data.gis.ny.gov/datasets/8c9602de1f244af9990eec7f3c65e81c_0/about,bike
,bike route - surface type,Categorical,asphalt,,,,bicycle centerline segment,New York State Bike Routes,https://data.gis.ny.gov/datasets/8c9602de1f244af9990eec7f3c65e81c_0/about,bike
,bike route functional classification (adjacent road?),Decimal,0-7,,,,roadway centerline segment or shared-use path centerline segment,Maryland Bicycle LTS,https://data-maryland.opendata.arcgis.com/datasets/maryland::maryland-bicycle-level-of-traffic-stress-lts/about,bike
,bike route length,Decimal,decimal,,,,bike centerline segment,Maryland Bicycle Routes,https://data-maryland.opendata.arcgis.com/datasets/maryland::maryland-bicycle-routes-road-separated/about,bike
,bike route or connector,Categorical,"route, connector, other",,,,bike centerline segment,Maryland Bicycle Routes,https://data-maryland.opendata.arcgis.com/datasets/maryland::maryland-bicycle-routes-road-separated/about,bike
,bike route public or private,Categorical,public,,,,bike centerline segment,Maryland Bicycle Routes,https://data-maryland.opendata.arcgis.com/datasets/maryland::maryland-bicycle-routes-road-separated/about,bike
,bike trail facility type,Categorical,"shared use path, bike lane, separated bike lane, bicycle/pedestrian priority roadway",,,,bike centerline segment,Massachusetts Bike Trails,https://gis.data.mass.gov/datasets/f3ced38395ab4d5a8b5e7568c7bf8b5d_0/explore?location=42.323083%2C-71.850124%2C12.00,bike
,bike trail surface type,Categorical,"paved, gravel, processed gravel, packed stone dust, bank run gravel, other, gravel / packed stone dust, natural surface, paved / natural surface",,,,bike centerline segment,Massachusetts Bike Trails,https://gis.data.mass.gov/datasets/f3ced38395ab4d5a8b5e7568c7bf8b5d_0/explore?location=42.323083%2C-71.850124%2C12.00,bike
,bikeway surface quality,Categorical,"above average, below average",,,,bike facility (approach / linear),California report,https://dot.ca.gov/-/media/dot-media/programs/research-innovation-system-information/documents/final-reports/ca17-2836-finalreport-a11y.pdf,pedestrian
,bikeway surface type,Categorical,"concrete, asphalt, gravel, stone, crushed rock",,,,bike facility,California report,https://dot.ca.gov/-/media/dot-media/programs/research-innovation-system-information/documents/final-reports/ca17-2836-finalreport-a11y.pdf,pedestrian
,bikeway type,Categorical,"standard, buffered, contraflow, shared use, other",,,,bike facility,California report,https://dot.ca.gov/-/media/dot-media/programs/research-innovation-system-information/documents/final-reports/ca17-2836-finalreport-a11y.pdf,pedestrian
,bikeway width,Decimal,0-99,,,,bike facility (approach / linear),California report,https://dot.ca.gov/-/media/dot-media/programs/research-innovation-system-information/documents/final-reports/ca17-2836-finalreport-a11y.pdf,pedestrian
,bikeway effective width,Decimal,0-99,,,,bike facility (approach / linear),California report,https://dot.ca.gov/-/media/dot-media/programs/research-innovation-system-information/documents/final-reports/ca17-2836-finalreport-a11y.pdf,pedestrian
,left sidewalk width,Decimal,,,,,roadway centerline segment,Massachusetts Pedestrian Facilities,https://gis.data.mass.gov/datasets/45efedab4d114324a6c6c8f95de711d5_0/explore?location=42.364159%2C-71.112746%2C15.00,pedestrian
,pedestrian facility type,Integer,,,,,bike centerline segment,Massachusetts Bike Inventory,https://geo-massdot.opendata.arcgis.com/datasets/MassDOT::bike-inventory-current/about,bike
,pedestrian sidewalk left,Integer,,,,,bike centerline segment,Massachusetts Bike Inventory,https://geo-massdot.opendata.arcgis.com/datasets/MassDOT::bike-inventory-current/about,bike
,pedestrian sidewalk right,Integer,,,,,bike centerline segment,Massachusetts Bike Inventory,https://geo-massdot.opendata.arcgis.com/datasets/MassDOT::bike-inventory-current/about,bike
,pedestrian sidewalk width,,decimal; pedestrian facility mapped in bike dataset,,,,bike centerline segment,Massachusetts Bike Inventory,https://geo-massdot.opendata.arcgis.com/datasets/MassDOT::bike-inventory-current/about,bike
,right sidewalk width,Decimal,,,,,roadway centerline segment,Massachusetts Pedestrian Facilities,https://gis.data.mass.gov/datasets/45efedab4d114324a6c6c8f95de711d5_0/explore?location=42.364159%2C-71.112746%2C15.00,pedestrian
,sidewalk - condition,Categorical,"good, missing, fair, poor",,,,sidewalk centerline segment - by parcel,Denver Sidewalks Asset,https://opendata-geospatialdenver.hub.arcgis.com/datasets/geospatialDenver::sidewalks-asset/about,pedestrian
,sidewalk - installed date,Date,,,,,sidewalk centerline segment - by parcel,Denver Sidewalks Asset,https://opendata-geospatialdenver.hub.arcgis.com/datasets/geospatialDenver::sidewalks-asset/about,pedestrian
,sidewalk - length,Decimal,,,,,sidewalk centerline segment w/point data curb ramps,New York State Sidewalks,https://data.ny.gov/Transportation/Sidewalks/xcbb-dr8x/about_data,pedestrian
,sidewalk - length,Decimal,,,,,sidewalk centerline segment - by parcel,Denver Sidewalks Asset,https://opendata-geospatialdenver.hub.arcgis.com/datasets/geospatialDenver::sidewalks-asset/about,pedestrian
,sidewalk - replaced date,Date,,,,,sidewalk centerline segment - by parcel,Denver Sidewalks Asset,https://opendata-geospatialdenver.hub.arcgis.com/datasets/geospatialDenver::sidewalks-asset/about,pedestrian
,sidewalk - retired date,Date,,,,,sidewalk centerline segment - by parcel,Denver Sidewalks Asset,https://opendata-geospatialdenver.hub.arcgis.com/datasets/geospatialDenver::sidewalks-asset/about,pedestrian
,sidewalk - surface,Categorical,"concrete, NA, asphalt, brick, mixed, unknown, paver, other",,,,sidewalk centerline segment,Philly / Camden Pedestrian Network,https://dvrpc-dvrpcgis.opendata.arcgis.com/datasets/dvrpcgis::dvrpc-pedestrian-network/about,pedestrian
,sidewalk - surface type,Categorical,"concrete, flag stone, asphalt, flagstone, gravel, sand, other",,,,sidewalk centerline segment - by parcel,Denver Sidewalks Asset,https://opendata-geospatialdenver.hub.arcgis.com/datasets/geospatialDenver::sidewalks-asset/about,pedestrian
,sidewalk - type,Categorical,"sidewalk, missing sidewalk",,,,sidewalk centerline segment - by parcel,Denver Sidewalks Asset,https://opendata-geospatialdenver.hub.arcgis.com/datasets/geospatialDenver::sidewalks-asset/about,pedestrian
,sidewalk - type,Categorical,"path, unmarked, parallel, continental, unknown, ladder, diagonal, solid, grade separated, decorative, other",,,,sidewalk centerline segment,Philly / Camden Pedestrian Network,https://dvrpc-dvrpcgis.opendata.arcgis.com/datasets/dvrpcgis::dvrpc-pedestrian-network/about,pedestrian
,sidewalk - width,Decimal,decimal,,,,sidewalk centerline segment - by parcel,Denver Sidewalks Asset,https://opendata-geospatialdenver.hub.arcgis.com/datasets/geospatialDenver::sidewalks-asset/about,pedestrian
,sidewalk area,Decimal,decimal,,,,sidewalk centerline segment,Arizona Medians and Sidewalks,https://arizona-sun-cloud-agic.hub.arcgis.com/,pedestrian
,sidewalk buildyear_scheduled,Date,,,,,sidewalk centerline segment,Denver Sidewalk Current,,
,sidewalk builtyear,Date,,,,,sidewalk centerline segment,Denver Sidewalk Current,,
,sidewalk category,Categorical,"block, impcrnr, medisld, trplatfm, other",,,,sidewalk centerline segment,Seattle Sidewalks,https://data-seattlecitygis.opendata.arcgis.com/datasets/SeattleCityGIS::sidewalks-1/about,pedestrian
,sidewalk condition,Categorical,"good, fair, poor, other",,,,sidewalk centerline segment,Nashville Sidewalks,https://datanashvillegov-nashville.hub.arcgis.com/datasets/Nashville::sidewalks-1/explore,pedestrian
,sidewalk condition,Categorical,"good, fair, gap, poor, TBD, other",,,,sidewalk centerline segment,Bend Sidewalks,https://data.bendoregon.gov/datasets/bendoregon::sidewalk/about,pedestrian
,sidewalk condition,Categorical,"average, unknown, excellent, poor",,,,sidewalk centerline segment,Alexandria Transport Walks,https://cityofalexandria-alexgis.opendata.arcgis.com/datasets/AlexGIS::transport-walks/about,pedestrian
,sidewalk condition,Categorical,"good, fair, excellent, poor, very poor, other",,,,sidewalk centerline segment,Seattle Sidewalks,https://data-seattlecitygis.opendata.arcgis.com/datasets/SeattleCityGIS::sidewalks-1/about,pedestrian
,sidewalk direction,Categorical,"northbound, southbound, westbound, eastbound, other",,,,sidewalk centerline segment,Maryland Sidewalks,https://www.arcgis.com/home/item.html?id=d0a7b016e42a48a19fdfb49c31320e33,pedestrian
,sidewalk feature type,Categorical,"private sidewalk, sidewalks, crosswalk, stairs",,,,polygons,Alexandria Walks Polygons,https://cityofalexandria-alexgis.opendata.arcgis.com/datasets/AlexGIS::walks-polygons/about,pedestrian
,sidewalk left,Boolean,,,,,roadway centerline segment,Massachusetts Pedestrian Facilities,https://gis.data.mass.gov/datasets/45efedab4d114324a6c6c8f95de711d5_0/explore?location=42.364159%2C-71.112746%2C15.00,pedestrian
,sidewalk left condition,Categorical,"good, fair, deficient, intolerable, other",,,,roadway centerline segment,Massachusetts Pedestrian Facilities,https://gis.data.mass.gov/datasets/45efedab4d114324a6c6c8f95de711d5_0/explore?location=42.364159%2C-71.112746%2C15.00,pedestrian
,sidewalk length,Decimal,decimal,,,,sidewalk centerline segment,Denver Sidewalk Centerlines,https://data.drcog.org/dataset/sidewalk-centerlines-2022,pedestrian
,sidewalk length,Decimal,decimal,,,,sidewalk centerline segment,Arizona Medians and Sidewalks,https://arizona-sun-cloud-agic.hub.arcgis.com/,pedestrian
,sidewalk length,Decimal,decimal,,,,sidewalk centerline segment,Cambridge Sidewalk Centerlines,,
,sidewalk length,Decimal,decimal,,,,sidewalk centerline segment,Boston Sidewalk Centerline,,
,sidewalk length,Decimal,decimal,,,,roadway centerline segment,Massachusetts Pedestrian Facilities,https://gis.data.mass.gov/datasets/45efedab4d114324a6c6c8f95de711d5_0/explore?location=42.364159%2C-71.112746%2C15.00,pedestrian
,sidewalk length,Decimal,decimal,,,,sidewalk centerline segment,Maryland Sidewalks,https://www.arcgis.com/home/item.html?id=d0a7b016e42a48a19fdfb49c31320e33,pedestrian
,sidewalk material,Categorical,"unknown, concrete, asphaltic concrete, pavers, brick, wood, gravel",,,,sidewalk centerline segment,Portland Sidewalks,https://gis-pdx.opendata.arcgis.com/datasets/PDX::sidewalks/about,pedestrian
,sidewalk material,Categorical,"concrete, asphalt, pavers, other",,,,sidewalk centerline segment,Bend Sidewalks,https://data.bendoregon.gov/datasets/bendoregon::sidewalk/about,pedestrian
,sidewalk right,Boolean,,,,,roadway centerline segment,Massachusetts Pedestrian Facilities,https://gis.data.mass.gov/datasets/45efedab4d114324a6c6c8f95de711d5_0/explore?location=42.364159%2C-71.112746%2C15.00,pedestrian
,sidewalk right condition,Categorical,"good, fair, deficient, intolerable, other",,,,roadway centerline segment,Massachusetts Pedestrian Facilities,https://gis.data.mass.gov/datasets/45efedab4d114324a6c6c8f95de711d5_0/explore?location=42.364159%2C-71.112746%2C15.00,pedestrian
,sidewalk side,Categorical,"E, W, N, S, NE, SW, SE, NW, C, other",,,,sidewalk centerline segment,Seattle Sidewalks,https://data-seattlecitygis.opendata.arcgis.com/datasets/SeattleCityGIS::sidewalks-1/about,pedestrian
,sidewalk side of street,Categorical,"N, W, S, E, NE, NW, SE, SW, N/A, other",,,,sidewalk centerline segment,Nashville Sidewalks,https://datanashvillegov-nashville.hub.arcgis.com/datasets/Nashville::sidewalks-1/explore,pedestrian
,sidewalk status,Categorical,"missing, exists",,,,sidewalk centerline segment,Bend Sidewalks,https://data.bendoregon.gov/datasets/bendoregon::sidewalk/about,pedestrian
,sidewalk status,Categorical,"insvc, removed, planned, undercons, outsvc, plnrecon, tempoutsvc, other",,,,sidewalk centerline segment,Seattle Sidewalks,https://data-seattlecitygis.opendata.arcgis.com/datasets/SeattleCityGIS::sidewalks-1/about,pedestrian
,sidewalk surface,Categorical,"concrete, stone, asphalt, other, mountable, 6"" verti, ct, st, ave",,,,sidewalk centerline segment,Denver Sidewalk Current,,
,sidewalk surface,Categorical,"cement, unknown, brick, asphalt, pavers, other",,,,polygons,Alexandria Walks Polygons,https://cityofalexandria-alexgis.opendata.arcgis.com/datasets/AlexGIS::walks-polygons/about,pedestrian
,sidewalk surface,Categorical,"concrete, concrete - at grade, concrete with traction strips, asphalt, asphalt - at grade, asphalt / concrete, rubber tiles, brick / stone / paver, gravel, pervious asphalt, pervious concrete, bituminous surface treatment, unimproved, other, undetermined",,,,sidewalk centerline segment,Seattle Sidewalks,https://data-seattlecitygis.opendata.arcgis.com/datasets/SeattleCityGIS::sidewalks-1/about,pedestrian
,sidewalk surface type,Categorical,"bituminous concrete, Portland cement, surface-treated, mixed, unimproved / graded earth / soil surface, block, brick, gravel or stone, boardwalk, composite road / flexible over rigid, other",,,,roadway centerline segment,Massachusetts Pedestrian Facilities,https://gis.data.mass.gov/datasets/45efedab4d114324a6c6c8f95de711d5_0/explore?location=42.364159%2C-71.112746%2C15.00,pedestrian
,sidewalk surface type,Categorical,"concrete, asphalt, gravel, other",,,,sidewalk centerline segment,Delaware Sidewalks 2.0,https://de-firstmap-delaware.hub.arcgis.com/datasets/delaware::delaware-sidewalks-2-0/about,pedestrian
,sidewalk surface type,Categorical,"concrete - no grade, asphalt - no grade, brick - no grade, aggregate - no grade, stone - no grade, other",,,,sidewalk centerline segment,VDOT Sidewalks,https://www.arcgis.com/home/item.html?id=5c009edf10ca4df39770eb9a1124e7bd,pedestrian
,sidewalk surface type,Categorical,"concrete, asphalt, brick, other",,,,sidewalk centerline segment,Fairfax Sidewalks Centerline,https://data-fairfaxcountygis.opendata.arcgis.com/datasets/Fairfaxcountygis::sidewalks-centerline/about,pedestrian
,sidewalk surface type,Categorical,"concrete, asphalt, brick, mixed, natural",,,,sidewalk centerline segment,Alexandria Transport Walks,https://cityofalexandria-alexgis.opendata.arcgis.com/datasets/AlexGIS::transport-walks/about,pedestrian
,sidewalk type,Categorical,"sidewalk, possible missing sidewalk, crosswalk, possible missing crosswalk, other path, best fit line",,,,sidewalk,California report,https://dot.ca.gov/-/media/dot-media/programs/research-innovation-system-information/documents/final-reports/ca17-2836-finalreport-a11y.pdf,pedestrian
,sidewalk type,Categorical,"sidewalk, median, median (painted), median (raised), median (raised, vegetation), roadway split areas",,,,sidewalk centerline segment,Arizona Medians and Sidewalks,https://arizona-sun-cloud-agic.hub.arcgis.com/,pedestrian
,sidewalk type,Categorical,"public sidewalk, footpath, crosswalk",,,,sidewalk centerline segment,Cambridge Sidewalk Centerlines,,
,sidewalk type,Categorical,"sidewalk, private walk, crosswalk",,,,sidewalk centerline segment,Boston Sidewalk Centerline,,
,sidewalk type,Categorical,"sidewalk - associated with road, footpath - not associated with road, shared-use path - bicycle and pedestrian path, unimproved trail - unpaved recreational footpath, other",,,,roadway centerline segment,Massachusetts Pedestrian Facilities,https://gis.data.mass.gov/datasets/45efedab4d114324a6c6c8f95de711d5_0/explore?location=42.364159%2C-71.112746%2C15.00,pedestrian
,sidewalk type,Categorical,"sidewalk, connector",,,,sidewalk centerline segment,Fairfax Sidewalks Centerline,https://data-fairfaxcountygis.opendata.arcgis.com/datasets/Fairfaxcountygis::sidewalks-centerline/about,pedestrian
,sidewalk type,Categorical,"unknown, surface, mid-block ramp, end ramp, vaulted, transit pad, cycle track, driveway, elevated, dock, other",,,,sidewalk centerline segment,Portland Sidewalks,https://gis-pdx.opendata.arcgis.com/datasets/PDX::sidewalks/about,pedestrian
,sidewalk type (walk class) ,Categorical,"sidewalk, roadwalk, unmarked crosswalk, marked crosswalk, parking lot, alley, trail, pier, connector, trail connector",,,,sidewalk centerline segment,Alexandria Transport Walks,https://cityofalexandria-alexgis.opendata.arcgis.com/datasets/AlexGIS::transport-walks/about,pedestrian
,sidewalk width,Decimal,,,,,sidewalk centerline segment,Denver Sidewalk Centerlines,https://data.drcog.org/dataset/sidewalk-centerlines-2022,pedestrian
,sidewalk width,Decimal,,,,,sidewalk centerline segment,Delaware Sidewalks 2.0,https://de-firstmap-delaware.hub.arcgis.com/datasets/delaware::delaware-sidewalks-2-0/about,pedestrian
,sidewalk width,Decimal,,,,,sidewalk centerline segment,Fairfax Sidewalks Centerline,https://data-fairfaxcountygis.opendata.arcgis.com/datasets/Fairfaxcountygis::sidewalks-centerline/about,pedestrian
,sidewalk width,Decimal,,,,,sidewalk centerline segment,Nashville Sidewalks,https://datanashvillegov-nashville.hub.arcgis.com/datasets/Nashville::sidewalks-1/explore,pedestrian
,sidewalk width,Categorical,"minimum 5 feet, minimum 4 feet, minimum 6 feet, multi-use sidewalk, MIN10, other, minimum 3 feet",,,,sidewalk centerline segment,Bend Sidewalks,https://data.bendoregon.gov/datasets/bendoregon::sidewalk/about,pedestrian
,sidewalk width,Decimal,,,,,sidewalk centerline segment,Maryland Sidewalks,https://www.arcgis.com/home/item.html?id=d0a7b016e42a48a19fdfb49c31320e33,pedestrian
,sidewalk width,Integer,,,,,sidewalk centerline segment,Philly / Camden Pedestrian Network,https://dvrpc-dvrpcgis.opendata.arcgis.com/datasets/dvrpcgis::dvrpc-pedestrian-network/about,pedestrian
,sidewalk width,Decimal,,,,,roadway centerline segment,Washington Active Transportation LTS,https://gisdata-wsdot.opendata.arcgis.com/datasets/WSDOT::wsdot-active-transportation-level-of-traffic-stress-lts/about,bike
,sidewalk width,Decimal,,,,,sidewalk centerline segment,Seattle Sidewalks,https://data-seattlecitygis.opendata.arcgis.com/datasets/SeattleCityGIS::sidewalks-1/about,pedestrian
,sidewalkstatus,Categorical,"existing, existing - deficient width, missing, constructed, existing - missing width, yes, missing sidewalk, blank",,,,sidewalk centerline segment,Denver Sidewalk Current,,
,sidewalktype,Categorical,"sidewalk, other crossing, crosswalk, missing sidewalk, other path, missing crossing, best-fit line, crossing",,,,sidewalk centerline segment,Denver Sidewalk Current,,
,trail - length,Decimal,,,,,trail centerline segment,Greater Philadelphia Trails,https://dvrpc-dvrpcgis.opendata.arcgis.com/datasets/dvrpcgis::greater-philadelphia-trails/about,both
,trail - miles,Decimal,,,,,trail centerline segment,New York State Parks Trails,https://data.gis.ny.gov/datasets/nysparks::ny-state-parks-trails/about,both
,trail - multiuse,Categorical,"yes, no, unverified, other",,,,trail centerline segment,Greater Philadelphia Trails,https://dvrpc-dvrpcgis.opendata.arcgis.com/datasets/dvrpcgis::greater-philadelphia-trails/about,both
,trail - status,Categorical,"open, closed, proposed, unknown, other",,,,trail centerline segment,New York State Parks Trails,https://data.gis.ny.gov/datasets/nysparks::ny-state-parks-trails/about,both
,trail - surface,Categorical,"soil/natural, asphalt, gravel, concrete, unknown, stone dust, sand, wood boardwalk, woodchips, cobble, other",,,,trail centerline segment,New York State Parks Trails,https://data.gis.ny.gov/datasets/nysparks::ny-state-parks-trails/about,both
,trail - surface type ,Categorical,"paved, dirt, grass, varies, crushed stone / gravel, sand / sandy dirt, unverified, stone dust, other",,,,trail centerline segment,Greater Philadelphia Trails,https://dvrpc-dvrpcgis.opendata.arcgis.com/datasets/dvrpcgis::greater-philadelphia-trails/about,both
,trail miles,Decimal,,,,,trail centerline segment,Portland Parks Trails,https://gis-pdx.opendata.arcgis.com/datasets/PDX::parks-trails-2/about,both
,trail status,Categorical,"existing, closed, informal, proposed",,,,trail centerline segment,Portland Parks Trails,https://gis-pdx.opendata.arcgis.com/datasets/PDX::parks-trails-2/about,both
,trail surface,Categorical,"soil, asphalt, gravel, concrete, sidewalk, chipseal, bike lane, asphalt (porous), bike lane / sidewalk, bike/ped/vehicle share, other",,,,trail centerline segment,Portland Parks Trails,https://gis-pdx.opendata.arcgis.com/datasets/PDX::parks-trails-2/about,both
,trail type,Categorical,"trail / path (1-3 ft.), trail / path (6-12 ft.), on-street trail, trail/path (3-5 ft.), trail/path (5-6 ft.), maintenance road, firelane, trail/path (12-20 ft.), CAT road (retired), trail/path (over 20 ft.), other",,,,trail centerline segment,Portland Parks Trails,https://gis-pdx.opendata.arcgis.com/datasets/PDX::parks-trails-2/about,both
,trail width,Integer,,,,,trail centerline segment,Portland Parks Trails,https://gis-pdx.opendata.arcgis.com/datasets/PDX::parks-trails-2/about,both
